code,description
6011011,Lilium
6011012,Tulipa
6011013,Zantedeschia
6011014,Iris
6011015,Nerine
6011016,Ornithogalum
6011017,Hyacinthus
6011018,Hippeastrum
6011019,Others
6011021,Paeonia
6011029,Others
6011031,Ranunculus
6011032,Anemona
6011033,Dhalia
6011039,Others
6011041,Gladioulus
6011042,Ixia
6011043,Fresia
6011044,Sparaxis
6011049,Others
6011090,Others
6012011,Lilium
6012012,Tulipa
6012013,Zantedeschia
6012019,Others
6012090,Others
6022010,Araucaria 0.1 m
6023000,Rhodondendron and Azalea
6023010,Rhododendron 
6023090,Others
6024000,Rosa sp.
6029000,Others
6029014,Chrysanthemum sp.
6029015,Orchids
6029016,Dracaena
6029019,Others
6029051,Bambusa sp.
6029055,Chrysanthemum sp.
6029056,Lilium sp.
6029059,Others
6029090,Others
6031100,Rosa sp.
6031200,Dyanthus sp.
6031300,Orchids
6031400,Chrysanthemum sp.
6031500,Lilium sp.
6031900,Others
6031920,Tulipa sp.
6031930,Paeonia sp.
6031940,Liatris sp.
6031950,Limonium sp.
6031960,Zantedeschia sp.
6031970,Gypsophila sp.
6031980,Hypericum sp.
6031991,Gladiolus sp.
6031999,Others
6039000,Others
6042010,Dracaena sp.
6042090,Others
6049000,Others
