TPO_DOCTO;ADU;FORM;FECVENCI;CODCOMUN;NUM_UNICO_IMPORTADOR;CODPAISCON;DESDIRALM;CODCOMRS;ADUCTROL;NUMPLAZO;INDPARCIAL;NUMHOJINS;TOTINSUM;CODALMA;NUM_RS;FEC_RS;ADUA_RS;NUMHOJANE;NUM_SEC;PA_ORIG;PA_ADQ;VIA_TRAN;TRANSB;PTO_EMB;PTO_DESEM;TPO_CARGA;ALMACEN;FEC_ALMAC;FECRETIRO;NU_REGR;ANO_REG;CODVISBUEN;NUMREGLA;NUMANORES;CODULTVB;PAGO_GRAV;FECTRA;FECACEP;GNOM_CIA_T;CODPAISCIA;NUMRUTCIA;DIGVERCIA;NUM_MANIF;NUM_MANIF1;NUM_MANIF2;FEC_MANIF;NUM_CONOC;FEC_CONOC;NOMEMISOR;NUMRUTEMI;DIGVEREMI;GREG_IMP;REG_IMP;BCO_COM;CODORDIV;FORM_PAGO;NUMDIAS;VALEXFAB;MONEDA;MONGASFOB;CL_COMPRA;TOT_ITEMS;FOB;TOT_HOJAS;COD_FLE;FLETE;TOT_BULTOS;COD_SEG;SEGURO;TOT_PESO;CIF;NUM_AUT;FEC_AUT;GBCOCEN;ID_BULTOS;TPO_BUL1;CANT_BUL1;TPO_BUL2;CANT_BUL2;TPO_BUL3;CANT_BUL3;TPO_BUL4;CANT_BUL4;TPO_BUL5;CANT_BUL5;TPO_BUL6;CANT_BUL6;TPO_BUL7;CANT_BUL7;TPO_BUL8;CANT_BUL8;CTA_OTRO;MON_OTRO;CTA_OTR1;MON_OTR1;CTA_OTR2;MON_OTR2;CTA_OTR3;MON_OTR3;CTA_OTR4;MON_OTR4;CTA_OTR5;MON_OTR5;CTA_OTR6;MON_OTR6;CTA_OTR7;MON_OTR7;MON_178;MON_191;FEC_501;VAL_601;FEC_502;VAL_602;FEC_503;VAL_603;FEC_504;VAL_604;FEC_505;VAL_605;FEC_506;VAL_606;FEC_507;VAL_607;TASA;NCUOTAS;ADU_DI;NUM_DI;FEC_DI;MON_699;MON_199;NUMITEM;DNOMBRE;DMARCA;DVARIEDAD;DOTRO1;DOTRO2;ATR_5;ATR_6;SAJU_ITEM;AJU_ITEM;CANT_MERC;MERMAS;MEDIDA;PRE_UNIT;ARANC_ALA;NUMCOR;NUMACU;CODOBS1;DESOBS1;CODOBS2;DESOBS2;CODOBS3;DESOBS3;CODOBS4;DESOBS4;ARANC_NAC;CIF_ITEM;ADVAL_ALA;ADVAL;VALAD;OTRO1;CTA1;SIGVAL1;VAL1;OTRO2;CTA2;SIGVAL2;VAL2;OTRO3;CTA3;SIGVAL3;VAL3;OTRO4;CTA4;SIGVAL4;VAL4;YEAR;MONTH
151;34;15;18012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;R;;0;0;;;;;;;4;3012014;3012014;HAMBURG SUD;563;59059900.0;K;105672;;;0;SUDUB33702398005;30122013;ULTRAMAR AGENCIA MAR;80992000;3;ALADI;71;0;0;32;0;0;13;0;5;5;18109;2;0;2470,39;1;2;362,18;4170;20941,57;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;3978,89;3978,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;1;Y-ROSAS         ~ ROSAS~ TRANSINTERNACIONAL-F~ FRE;SCAS~ FLORES CORTADAS PARA RAM;OS O ADORNOS~;;;;;;0;365,7769;0;6;5,645518;6031000.0;0;565;99.0;00000026.000000 PIEZAS;96.0;19352-2014;;;;;6031100;2388;0;223;0;19;178.0;+;453,72;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;R;;0;0;;;;;;;4;3012014;3012014;HAMBURG SUD;563;59059900.0;K;105672;;;0;SUDUB33702398005;30122013;ULTRAMAR AGENCIA MAR;80992000;3;ALADI;71;0;0;32;0;0;13;0;5;5;18109;2;0;2470,39;1;2;362,18;4170;20941,57;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;3978,89;3978,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;2;Y-ROSAS         ~ ROSAS~ TRANSINTERNACIONAL-F~ FRE;SCAS~ FLORES CORTADAS PARA RAM;OS O ADORNOS~;;;;;;0;268,9769;0;6;5,645466;6031000.0;0;565;99.0;00000032.000000 PIEZAS;;;;;;;6031100;1756,02;0;223;0;19;178.0;+;333,64;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;R;;0;0;;;;;;;4;3012014;3012014;HAMBURG SUD;563;59059900.0;K;105672;;;0;SUDUB33702398005;30122013;ULTRAMAR AGENCIA MAR;80992000;3;ALADI;71;0;0;32;0;0;13;0;5;5;18109;2;0;2470,39;1;2;362,18;4170;20941,57;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;3978,89;3978,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;3;Y-ROSAS         ~ ROSAS~ TRANSINTERNACIONAL-F~ FRE;SCAS~ FLORES CORTADAS PARA RAM;OS O ADORNOS~;;;;;;0;1960,0615;0;6;5,645486;6031000.0;0;565;99.0;00000175.000000 PIEZAS;20.0;MERCANCIAS DE MAS DE UN MODELO;;;;;6031100;12796,34;0;223;0;19;178.0;+;2431,3;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;R;;0;0;;;;;;;4;3012014;3012014;HAMBURG SUD;563;59059900.0;K;105672;;;0;SUDUB33702398005;30122013;ULTRAMAR AGENCIA MAR;80992000;3;ALADI;71;0;0;32;0;0;13;0;5;5;18109;2;0;2470,39;1;2;362,18;4170;20941,57;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;3978,89;3978,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;4;Y-GIPSO         ~ GYPSOPHILA~ TRANSINTERNACIONAL-F;~ FRESCAS~ FLORES CORTADAS PAR;A RAMOS O ADORNOS~;;;;;;0;476,4846;0;6;5,645513;6031000.0;0;565;99.0;00000035.000000 PIEZAS;;;;;;;6031970;3110,76;0;223;0;19;178.0;+;591,04;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13101;34487;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;R;;0;0;;;;;;;4;3012014;3012014;HAMBURG SUD;563;59059900.0;K;105672;;;0;SUDUB33702398005;30122013;ULTRAMAR AGENCIA MAR;80992000;3;ALADI;71;0;0;32;0;0;13;0;5;5;18109;2;0;2470,39;1;2;362,18;4170;20941,57;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;3978,89;3978,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;5;Y-HIPER         ~ HYPERICUM~ TRANSINTERNACIONAL-F~;FRESCAS~ FLORES CORTADAS PARA;RAMOS O ADORNOS~;;;;;;0;136,3923;0;6;5,64548;6031000.0;0;565;99.0;00000010.000000 PIEZAS;;;;;;;6031980;890,45;0;223;0;19;178.0;+;169,19;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;3012014;3012014;CSAV;997;90160000.0;7;105672;;;0;QNAB3GL00;31122013;C.S.A.V.;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;25139,42;2;0;3010;1;2;502,79;5292;28652,21;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5443,92;5443,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;1;SIN-CODIGO      ~ ROSAS~ FRESH LOGISTICS-F~ FRESCA;S~ FLORES CORTADAS PARA RAMOSO;ADORNOS;;;;;;0;4415,95;0;6;5,182314;6031000.0;0;565;99.0;00000396.000000 PIEZAS;20.0;MERCANCIAS DE MAS DE UN MODELO;96.0;19354-2014;;;6031100;26082,59;0;223;0;19;178.0;+;4955,69;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;3012014;3012014;CSAV;997;90160000.0;7;105672;;;0;QNAB3GL00;31122013;C.S.A.V.;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;25139,42;2;0;3010;1;2;502,79;5292;28652,21;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5443,92;5443,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;2;SIN-CODIGO      ~ SOLIDAGO~ FRESH LOGISTICS-F~ FRE;SCAS~ FLORES CORTADAS PARA RAM;OS O ADORNOS;;;;;;0;84,9;0;6;5,182568;6031000.0;0;565;99.0;00000008.000000 PIEZAS;;;;;;;6031999;501,48;0;223;0;19;178.0;+;95,28;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;3012014;3012014;CSAV;997;90160000.0;7;105672;;;0;QNAB3GL00;31122013;C.S.A.V.;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;25139,42;2;0;3010;1;2;502,79;5292;28652,21;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5443,92;5443,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;3;SIN-CODIGO      ~ HELECHO DE CUERO~ FRESH LOGISTIC;S-F~ FRESCAS~ FLORES CORTADAS;PARA RAMOS O ADORNOS;;;;;;0;44,6;0;6;5,18296;6031000.0;0;565;99.0;00000004.000000 PIEZAS;;;;;;;6031999;263,46;0;223;0;19;178.0;+;50,06;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;3012014;3012014;CSAV;997;90160000.0;7;105672;;;0;QNAB3GL00;31122013;C.S.A.V.;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;25139,42;2;0;3010;1;2;502,79;5292;28652,21;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5443,92;5443,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;4;SIN-CODIGO      ~ HIPERICUM~ FRESH LOGISTICS-F~ FR;ESCAS~ FLORES CORTADAS PARA RA;MOS O ADORNOS;;;;;;0;131,22;0;6;5,182137;6031000.0;0;565;99.0;00000019.000000 PIEZAS;;;;;;;6031999;775,02;0;223;0;19;178.0;+;147,25;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13108;33042;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;3012014;3012014;CSAV;997;90160000.0;7;105672;;;0;QNAB3GL00;31122013;C.S.A.V.;90160000;7;ALADI;71;0;0;32;0;0;13;0;5;5;25139,42;2;0;3010;1;2;502,79;5292;28652,21;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;5443,92;5443,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;5;SIN-CODIGO      ~ LIRIOS~ FRESH LOGISTICS-F~ FRESC;AS~ FLORES CORTADAS PARA RAMOS;O ADORNOS;;;;;;0;174,33;0;6;5,182241;6031000.0;0;565;99.0;00000014.000000 PIEZAS;;;;;;;6031999;1029,66;0;223;0;19;178.0;+;195,64;0;;;0;0.0;;;0;0.0;;;0;2014;01
151;34;15;18012014;13104;35472;218;;;0;0.0;0;0;0;0;;0;0;0;0.0;218;218;1;;242;905;F;;0;0;;;;;;;4;3012014;3012014;C.S.A.V.;997;90160000.0;7;105672;;;0;QNAB3GM00;30122013;C.S.A.V.;90160000;7;ALADI;71;0;0;1;120;0;13;0;5;2;34080;2;0;3010;1;2;681,6;5052;37771,6;999.0;0; ; ;76;1;;;;;;;;;;;;;;;223.0;0;;0;;0;;0;;0;;0;;0;;0;7176,6;7176,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;1;SIN-CODIGO      ~ ROSAS~ FRESH-F~ FRESCAS~ FLORESC;ORTADAS PARA RAMOS O ADORNOS;;;;;;;0;3751;0;6;7,272727;6031000.0;0;565;99.0;00000341.000000 PIEZAS;96.0;19353-2014;;;;;6031100;30235,01;0;223;0;19;178.0;+;5744,65;0;;;0;0.0;;;0;0.0;;;0;2014;01
