FECHAACEPT;NUMEROIDENT;ADUANA;TIPOOPERACION;CODIGORUTEXPORTADORPPAL;NRO_EXPORTADOR;PORCENTAJEEXPPPAL;COMUNAEXPORTADORPPAL;CODIGORUTEXPSEC;NRO_EXPORTADOR_SEC;PORCENTAJEEXPSECUNDARIO;COMUNAEXPSECUNDARIO;PUERTOEMB;GLOSAPUERTOEMB;REGIONORIGEN;TIPOCARGA;VIATRANSPORTE;PUERTODESEMB;GLOSAPUERTODESEMB;PAISDESTINO;GLOSAPAISDESTINO;NOMBRECIATRANSP;PAISCIATRANSP;RUTCIATRANSP;DVRUTCIATRANSP;NOMBREEMISORDOCTRANSP;RUTEMISOR;DVRUTEMISOR;CODIGOTIPOAUTORIZA;NUMEROINFORMEEXPO;DVNUMEROINFORMEEXP;FECHAINFORMEEXP;MONEDA;MODALIDADVENTA;CLAUSULAVENTA;FORMAPAGO;VALORCLAUSULAVENTA;COMISIONESEXTERIOR;OTROSGASTOS;VALORLIQUIDORETORNO;NUMEROREGSUSP;ADUANAREGSUSP;PLAZOVIGENCIAREGSUSP;TOTALITEM;TOTALBULTOS;PESOBRUTOTOTAL;TOTALVALORFOB;VALORFLETE;CODIGOFLETE;VALORSEGURO;CODIGOSEG;VALORCIF;NUMEROPARCIALIDAD;TOTALPARCIALES;PARCIAL;OBSERVACION;NUMERODOCTOCANCELA;FECHADOCTOCANCELA;TIPODOCTOCANCELA;PESOBRUTOCANCELA;TOTALBULTOSCANCELA;NUMEROITEM;NOMBRE;ATRIBUTO1;ATRIBUTO2;ATRIBUTO3;ATRIBUTO4;ATRIBUTO5;ATRIBUTO6;CODIGOARANCEL;UNIDADMEDIDA;CANTIDADMERCANCIA;FOBUNITARIO;FOBUS;CODIGOOBSERVACION1;VALOROBSERVACION1;GLOSAOBSERVACION1;CODIGOOBSERVACION2;VALOROBSERVACION2;GLOSAOBSERVACION2;CODIGOOBSERVACION3;VALOROBSERVACION3;GLOSAOBSERVACION3;PESOBRUTOITEM;FECHAACEPTPACKAGE;NUMEROBULTO;TIPOBULTO;CANTIDADBULTO;IDENTIFICACIONBULTO;FECHAACEPTTRANSPORT;NSECDOCTRANSP;NUMERODOCTRANSP;FECHADOCTRANSP;NOMBRENAVE;NUMEROVIAJE;YEAR;MONTH
4012016;6814012;34;200;3;3833;100;10303;0;3188;0;0;905;VALPARAISO;10;F;1;499;HO CHI MINH;325;VIETNAM;CMA CGM;505;80992000;3;CMA CGM;80992000;3;0;325;3.0;28082016;13;1;5;1;5076,89;0;0;5076,89;0;0;270;1;1;3118;5076,89;750; ;0; ;0;3;3;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SUN&BREEZE-F~ DE LILIUM~ EN REPOS;OVEGETATIVO;;;;;;6011011;10;29000;,175065;5076,89;68;829.0;TLCCH-VIET;99;29000.0;UNIDADES;33.0;;0000000000.60;3118                                                                                                                                                                                                                                                                                              ;4012016;1;76;1;                                                     ;4012016;1;SNG0192469A;2122015;SANTA INES;132001                    ;2016;01
4012016;6814496;55;200;3;3724;100;8309;0;3188;0;0;908;SAN VICENTE;8;F;1;231;CARTAGENA;202;COLOMBIA;HAPAG LLOYD;563;80992000;3;HAPAG LLOYD;80992000;3;0;202;2.0;20012016;142;1;5;1;73835,47;0;0;73835,47;0;0;45;1;1;21000;73835,47;0; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SUN HARVEST-F~ DE LILIUM~ EN REP;OSO VEGETATIVO;;;;;;6011011;10;312500;,236274;73835,47;68;640.0;ALCCH-COL;99;312500.0;UNIDADES;33.0;;0000000004.20;21000                                                                                                                                                                                                                                                                                  ;4012016;1;76;1;                                                     ;4012016;1;HLCUSCL151134448;6122015;ELISABETH-S.;132285             ;2016;01
4012016;6824342;55;200;3;4095;100;10304;0;3188;0;0;908;SAN VICENTE;10;F;1;242;GUAYAQUIL;218;ECUADOR;HAPAG-LLOYD;563;90160000;7;HAPAG -LLOYD;90160000;7;0;218;2.0;2092016;142;3;5;1;11784,49;0;0;11784,49;0;0;270;1;1;5460;11784,49;481,38; ;0; ;0;2;2;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SOUTHER BULBS-F~ DE LILIUM~ EN RE;POSO VEGETATIVO;;;;;;6011011;10;78000;,151083;11784,49;99;78000.0;UNIDADES;68;565.0;ACE;33.0;;0000000001.00;5460                                                                                                                                                                                                                                                                                 ;4012016;1;76;1;                                                     ;4012016;1;DKSRCLSVE1512002;6122015;ELISABETH-S;132285              ;2016;01
4012016;6826690;55;200;3;3724;100;8309;0;3188;0;0;908;SAN VICENTE;8;F;1;242;GUAYAQUIL;218;ECUADOR;DENKERS CHILE SPA;997;76356896;2;DENKERS CHILE SPA;76356896;2;0;515;5.0;20012016;142;1;5;1;41517,66;0;0;41517,66;0;0;45;1;1;13520;41517,66;1251,62; ;0; ;0;1;2;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SUN HARVEST-F~ DE LILIUM~ EN REP;OSO VEGETATIVO;;;;;;6011011;10;176100;,235762;41517,66;68;565.0;ACE;99;176100.0;UNIDADES;33.0;;0000000002.80;13520                                                                                                                                                                                                                                                                       ;4012016;1;76;1;                                                     ;4012016;1;DKSRCLSVE1512001;6122015;ELISABETH-S;132285              ;2016;01
4012016;6852801;48;200;3;4196;100;10301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;621;AMSTERDAM;515;HOLANDA;K.L.M.;515;91354000;K;DANGEROUS & DRY CARGO S.A.;99535350;4;0;515;;13092016;13;3;2;1;9950;0;2027,9;7922,1;0;0;270;1;50;362;7922,1;2027,9; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE PEONIA~ EDUARDO ENGLER-F~ VAR.CORAL SUNSE;T,PEONIA SPP~ FRESCAS;;;;;;6031930;6;315;25,149524;7922,1;99;315.0;KN;68;800.0;AAPCCH-UE;0.0;;;362                                                                                                                                                                                                                                                                                   ;4012016;1;40;50;ROT.                                                ;4012016;1;074-42944322;18122015;K.L.M;553949                        ;2016;01
5012016;6826685;55;200;3;3724;100;8309;0;3188;0;0;908;SAN VICENTE;8;F;1;252;CALLAO;219;PERU;HAPAG LLOYD;563;80992000;3;HAPAG LLOYD;80992000;3;0;515;5.0;20012016;142;1;5;1;23099,03;0;0;23099,03;0;0;45;1;1;8540;23099,03;637,47; ;0; ;0;2;2;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SUN HARVEST-F~ DE LILIUM~ EN REPO;SO VEGETATIVO;;;;;;6011011;10;85400;,27048;23099,03;99;85400.0;UNIDADES;68;538.0;ACE;33.0;;0000000001.80;8540                                                                                                                                                                                                                                                                                              ;5012016;1;76;1;                                                     ;5012016;1;HLCUSCL151204257;6122015;ELISABETH-S;132285              ;2016;01
5012016;6837288;55;200;3;3724;100;8309;0;3188;0;0;908;SAN VICENTE;8;F;1;242;GUAYAQUIL;218;ECUADOR;DENKERS CHILE SPA;997;76356896;2;DENKERS CHILE SPA;76356896;2;0;515;5.0;29012016;142;1;5;1;36460,06;0;0;36460,06;0;0;45;1;1;13180;36460,06;1087,66; ;0; ;0;1;3;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SUN HARVEST-F~ DE LILIUM~ EN REPO;SO VEGETATIVO;;;;;;6011011;10;177700;,205178;36460,06;99;177700.0;UNIDAD;68;565.0;ACE;33.0;;0000000002.60;13180                                                                                                                                                                                                                                                                         ;5012016;1;76;1;                                                     ;5012016;1;DKSRCLSVE1512003;15122015;LIMARI;132269                   ;2016;01
5012016;6838750;55;200;3;3724;100;8309;0;3188;0;0;908;SAN VICENTE;8;F;1;231;CARTAGENA;202;COLOMBIA;HAPAG LLOYD;563;80992000;3;HAPAG LLOYD;80992000;3;0;202;2.0;29012016;142;1;5;1;60252,23;0;0;60252,23;0;0;45;1;1;19740;60252,23;0; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SUN HARVEST-F~ DE LILIUM~ EN RE;P  OSO VEGETATIVO;;;;;;6011011;10;271300;,222087;60252,23;68;640.0;ALCCH-COL;99;271300.0;UNIDAD;33.0;;0000000004.00;19740                                                                                                                                                                                                                                                                                  ;5012016;1;76;1;                                                     ;5012016;1;HLCUSCL151224673;15122015;LIMARI;132269                   ;2016;01
5012016;6840493;48;200;3;736;100;13114;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;576;MOUNT PLEASANT;510;REINO UNIDO;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;510;;11012016;13;1;10;1;5219,5;0;0;5219,5;0;0;30;15;121;1431;5219,5;3214,75; ;0; ;0;0;0;NO; ;;0;;0;;6;SIN-CODIGO      ~ FLORES FRESCAS~ DAVID GRIFFITHS-F~ FLO100~ SURTIDAS;CORTADAS PARA CONFECCION DE RA;MOS Y ADORNOS~;;;;;6031999;6;15;12;180;99;15.0;KILO NETO;0;;;0.0;;;22                                                                                                                                                                                                                                                                                   ;5012016;1;22;121;ROTULADO                                           ;5012016;1;045-99319916;12122015;LAN CHILE;555951                    ;2016;01
5012016;6840493;48;200;3;736;100;13114;0;3188;0;0;992;AEROP.A.M.BENITEZ;13;R;4;576;MOUNT PLEASANT;510;REINO UNIDO;LAN CHILE;997;89862200;2;LAN CHILE;89862200;2;0;510;;11012016;13;1;10;1;5219,5;0;0;5219,5;0;0;30;15;121;1431;5219,5;3214,75; ;0; ;0;0;0;NO; ;;0;;0;;6;SIN-CODIGO      ~ FLORES FRESCAS~ DAVID GRIFFITHS-F~ FLO100~ SURTIDAS;CORTADAS PARA CONFECCION DE RA;MOS Y ADORNOS~;;;;;6031999;6;15;12;180;99;15.0;KILO NETO;0;;;0.0;;;22                                                                                                                                                                                                                                                                                   ;5012016;1;22;121;ROTULADO                                           ;5012016;2;045-99319920;12122015;LAN CHILE;555951                    ;2016;01
